member_id,signup_date,home_branch,tier,age,gender,postal_code,marketing_consent
M0250,2024-10-01,B04,Bronze,25,Other,10500,Y
M0251,2024-04-24,B01,Bronze,43,M,10110,N
M0252,2024-06-17,B07,Gold,16,F,50230,N
M0253,2025-03-02,B04,Gold,37,F,10400,Y
M0254,2025-05-20,B03,Bronze,19,F,10260,Y
M0255,2026-01-18,B08,Bronze,0,M,50200,Y
M0256,2025-11-01,B06,Bronze,35,M,10240,Y
M0257,2024-07-01,B02,Silver,39,F,10330,N
M0258,2025-09-08,B04,Bronze,49,F,10240,N
M0259,2025-07-21,B08,Bronze,29,F,50200,Y
M0260,2025-05-13,B06,Gold,34,F,10240,N
M0261,2024-03-24,B01,Platinum,31,F,10260,Y
M0262,2024-04-05,B02,Silver,0,M,10900,Y
M0263,2024-07-19,B04,Bronze,52,F,10110,Y
M0264,2026-01-08,B04,Bronze,20,F,10110,Y
M0265,2024-10-05,B02,Gold,39,M,10500,N
M0266,2026-07-19,B03,Silver,26,Other,10230,Y
M0267,2025-12-03,B05,Silver,26,M,10240,Y
M0268,2026-05-27,B03,Gold,29,M,10240,N
M0269,2025-05-13,B02,Gold,43,M,10400,Y
M0270,2026-06-24,B05,Bronze,37,M,10240,N
M0271,2026-08-19,B08,Gold,20,M,50100,N
M0272,2025-04-07,B02,Bronze,30,M,10110,N
M0273,2025-05-11,B06,Silver,0,,10240,Y
M0274,2025-11-12,B04,Bronze,25,Other,10240,N
M0275,2025-10-13,B02,Gold,32,F,10330,Y
M0276,2025-03-06,B01,Bronze,28,F,10240,Y
M0277,2026-06-16,B02,Silver,0,F,10110,N
M0278,2026-03-12,B06,Bronze,31,F,10110,Y
M0279,2024-07-09,B07,Bronze,33,F,50200,N
M0280,2025-07-07,B07,Silver,20,F,50000,Y
M0281,2024-06-22,B01,Silver,36,M,10260,N
M0282,2024-06-04,B06,Silver,26,M,10240,N
M0283,2024-04-04,B06,Bronze,28,M,10230,Y
M0284,2025-10-19,B07,Silver,0,Other,50230,Y
M0285,2024-08-29,B06,Bronze,38,M,10110,Y
M0286,2025-05-15,B07,Silver,49,Other,50000,Y
M0287,2024-09-17,B04,Silver,0,M,10240,Y
M0288,2025-02-12,B07,Gold,55,F,50230,Y
M0289,2025-07-21,B07,Silver,23,F,50200,Y
M0290,2025-01-28,B01,Gold,33,F,10500,Y
M0291,2024-06-04,B06,Bronze,31,M,1026,Y
M0292,2024-05-09,B02,Silver,34,F,10500,N
M0293,2026-04-06,B01,Gold,0,Other,10240,N
M0294,2025-12-05,B04,Bronze,38,M,10260,Y
M0295,2024-02-29,B05,Silver,28,M,10110,N
M0296,2025-12-06,B03,Bronze,39,M,10900,N
M0297,2025-08-14,B05,Bronze,29,,10330,Y
M0298,2025-08-22,B06,Bronze,46,F,10260,Y
M0299,2026-05-06,B03,Platinum,0,M,1024,Y
M0300,2026-03-23,B01,Bronze,29,M,10260,Y
M0301,2025-09-28,B04,Bronze,40,Other,10260,Y
M0302,2024-05-31,B01,Silver,31,F,10240,Y
M0303,2026-05-20,B01,Bronze,34,M,10310,N
M0304,2025-05-09,B06,Platinum,31,M,10120,Y
M0305,2024-08-21,B03,Gold,39,F,10240,N
M0306,2026-06-13,B08,Bronze,30,M,50100,Y
M0307,2024-06-04,B05,Platinum,28,F,10310,Y
M0308,2024-07-25,B04,Gold,33,M,10120,Y
M0309,2025-06-24,B03,Silver,16,F,10330,Y
M0310,2024-12-28,B05,Gold,25,F,10500,Y
M0311,2024-07-09,B06,Bronze,33,F,10330,N
M0312,2024-11-20,B03,Silver,46,F,10120,N
M0313,2025-12-02,B06,Bronze,29,M,10500,N
M0314,2026-06-08,B06,Bronze,46,F,10240,N
M0315,2025-05-29,B05,Bronze,36,M,10500,Y
M0316,2025-10-16,B03,Platinum,7,F,10310,Y
M0317,2026-08-25,B07,Bronze,27,M,50230,Y
M0318,2026-06-07,B04,Platinum,28,Other,10900,Y
M0319,2026-02-03,B01,Gold,150,F,10240,Y
M0320,2025-05-14,B08,Silver,18,F,50100,N
M0321,2025-08-02,B08,Bronze,37,F,50000,Y
M0322,2026-04-27,B05,Gold,0,M,10310,Y
M0323,2025-09-12,B03,Silver,36,M,10240,N
M0324,2024-07-31,B08,Gold,38,M,50100,Y
M0325,2024-05-21,B07,Platinum,29,F,50230,Y
M0326,2025-07-08,B03,Bronze,0,M,10900,Y
M0327,2026-08-25,B01,Bronze,18,F,10230,Y
