transaction_id,transaction_datetime,branch_id,member_id,member_tier,channel,product_category,quantity,unit_price,discount_amount,total_amount,payment_method,satisfaction_score
T000047,2025-10-03 16:31,B02,M0049,Platinum,App,Coffee,1,60,0.00,60.00,Credit Card,5
T000048,2025-10-03 16:34,B05,,,Delivery,Tea,1,80,0.00,80.00,Credit Card,
T000049,2025-10-03 16:44,B02,,,In-store,Coffee,2,100,0.00,200.00,Credit Card,
T000050,2025-10-03 16:49,B08,M0104,Silver,App,Merchandise,1,785,0.00,785.00,App Wallet,5
T000051,2025-10-03 17:17,B07,,,App,Merchandise,1,435,0.00,435.00,Credit Card,5
T000052,2025-10-03 17:19,B08,,,In-store,Bakery,2,45,0.00,90.00,QR PromptPay,
T000053,2025-10-03 17:26,B07,,,In-store,Tea,1,80,0.00,80.00,QR PromptPay,3
T000054,2025-10-03 17:42,B08,,,In-store,Coffee,1,55,0.00,55.00,Credit Card,
T000050,2025-10-03 17:43,B08,M0104,Silver,App,Merchandise,-1,785,-0.00,-785.00,App Wallet,
T000055,2025-10-03 17:55,B04,,,Delivery,Coffee,3,90,0.00,270.00,Cash,
T000056,2025-10-03 18:48,B05,,,Delivery,Coffee,3,100,0.00,300.00,Cash,
T000057,2025-10-03 19:39,B02,,,App,Coffee,1,55,0.00,55.00,App Wallet,
T000058,2025-10-04 07:18,B04,M0024,Silver,In-store,Tea,2,50,15.00,85.00,QR PromptPay,4
T000059,2025-10-04 08:40,B02,M0303,Gold,In-store,Coffee,1,65,0.00,65.00,Credit Card,
T000060,2025-10-04 11:04,B04,M0078,Bronze,In-store,Tea,2,60,0.00,130.00,Credit Card,
T000061,2025-10-04 11:12,B04,,,Delivery,Bakery,1,105,0.00,105.00,QR PromptPay,3
T000062,2025-10-04 11:21,B03,,,In-store,Coffee,1,70,0.00,70.00,QR PromptPay,
T000063,2025-10-04 11:22,B05,,,In-store,Tea,2,85,0.00,170.00,Cash,
T000064,2025-10-04 12:59,B04,M0251,Bronze,In-store,Coffee,4,85,0.00,340.00,QR PromptPay,
T000065,2025-10-04 13:02,B06,,,In-store,Bakery,3,65,0.00,195.00,Credit Card,
T000066,2025-10-04 13:36,B07,M0221,Silver,App,Bakery,1,45,0.00,45.00,App Wallet,
T000067,2025-10-04 14:16,B03,M0312,Bronze,In-store,Coffee,3,100,0.00,300.00,Cash,
T000068,2025-10-04 16:19,B03,,,App,Coffee,3,75,0.00,225.00,App Wallet,
T000069,2025-10-04 17:17,B02,M0200,Gold,App,Coffee,1,60,0.00,60.00,App Wallet,
T000070,2025-10-04 19:22,B01,M0052,Bronze,In-store,Coffee,4,100,80.00,320.00,Cash,3
T000071,2025-10-05 07:31,B01,M0145,Silver,In-store,Coffee,1,85,0.00,85.00,QR PromptPay,4
T000072,2025-10-05 08:01,B04,,,In-store,Coffee,3,115,0.00,345.00,QR PromptPay,
T000073,2025-10-05 08:03,B08,M0006,Gold,In-store,Coffee,4,110,88.00,352.00,Credit Card,3
T000074,2025-10-05 08:09,B02,M0187,Silver,In-store,Bakery,2,95,28.50,161.50,Credit Card,
T000075,2025-10-05 08:11,B05,M0330,Silver,App,Coffee,1,70,0.00,70.00,Credit Card,
T000076,2025-10-05 08:12,B04,M0080,SILVER,In-store,Tea,1,80,0.00,80.00,Cash,4
T000077,2025-10-05 08:37,B01,M0069,Silver,Delivery,Bakery,2,85,0.00,170.00,Credit Card,3
T000078,2025-10-05 09:09,B04,M0093,Bronze,In-store,Tea,1,95,14.25,80.75,QR PromptPay,
T000079,2025-10-05 09:10,B02,M0054,Silver,Delivery,Bakery,1,85,4.25,80.75,QR PromptPay,5
T000080,2025-10-05 09:16,B02,,,App,Tea,2,90,0.00,180.00,App Wallet,
T000081,2025-10-05 09:21,B01,,,In-store,Bakery,2,110,0.00,220.00,Cash,5
T000082,2025-10-05 10:16,B01,M0291,Bronze,In-store,Bakery,1,70,0.00,70.00,QR PromptPay,3
T000083,2025-10-05 13:24,B05,,,delivery,Coffee,4,75,0.00,300.00,Credit Card,
T000084,2025-10-05 13:33,B03,M0085,Silver,In-store,Coffee,3,60,9.00,171.00,Credit Card,
T000085,2025-10-05 13:39,B01,,,In-store,Tea,2,80,0.00,160.00,QR PromptPay,
T000086,2025-10-05 13:39,B06,,,Delivery,Merchandise,1,495,0.00,495.00,Cash,
T000087,2025-10-05 14:29,B05,M0105,Bronze,In-store,Bakery,2,55,0.00,110.00,Cash,
T000088,2025-10-05 15:39,B04,M0153,Silver,App,Bakery,3,50,0.00,150.00,Credit Card,3
T000089,2025-10-05 15:43,B06,M0313,Brz,In-store,Bakery,2,95,0.00,190.00,QR PromptPay,
T000090,2025-10-05 16:07,B01,,,Delivery,Coffee,4,70,0.00,280.00,Credit Card,
T000091,2025-10-05 16:10,B08,,,In-store,Coffee,2,60,0.00,120.00,Cash,
T000092,2025-10-05 16:11,B05,,,In-store,Bakery,4,45,0.00,180.00,Cash,5
T000088,2025-10-05 16:41,B04,M0153,Silver,App,Bakery,-3,50,-0.00,-150.00,Credit Card,
T000093,2025-10-05 16:42,B08,,,App,Coffee,1,75,0.00,75.00,App Wallet,
T000094,2025-10-05 16:50,B02,M0011,Gold,In-store,Coffee,4,55,44.00,176.00,Cash,
T000095,2025-10-05 18:58,B04,M0153,Silver,In-store,Tea,2,85,0.00,170.00,QR PromptPay,
T000096,2025-10-06 07:09,B08,,,Delivery,Bakery,2,45,0.00,90.00,Cash,
T000097,2025-10-06 07:13,B04,M9799,Bronze,In-store,Coffee,2,90,0.00,180.00,QR PromptPay,4
T000098,2025-10-06 07:54,B06,M0242,Bronze,In-store,Bakery,2,90,0.00,180.00,QR PromptPay,
T000099,2025-10-06 07:58,B07,M0017,Bronze,App,Merchandise,1,680,68.00,612.00,Credit Card,
T000100,2025-10-06 08:00,B01,,,In-store,Coffee,1,80,0.00,80.00,QR PromptPay,
T000101,2025-10-06 08:01,B08,M9217,Bronze,In-store,Coffee,2,105,0.00,210.00,QR PromptPay,3
T000102,2025-10-06 08:05,B02,,,Delivery,Tea,1,55,0.00,55.00,Cash,5
T000103,2025-10-06 08:50,B08,M0050,Bronze,App,Tea,2,50,0.00,100.00,App Wallet,
T000103,2025-10-06 08:50,B08,M0050,Bronze,App,Tea,2,50,0.00,100.00,App Wallet,
T000104,2025-10-06 09:38,B08,,,Delivery,Coffee,1,85,0.00,85.00,QR PromptPay,5
T000105,2025-10-06 10:19,B08,M0268,Slvr,In-store,Coffee,1,75,0.00,75.00,QR PromptPay,
T000106,2025-10-06 10:35,B01,M0052,Bronze,In-store,Tea,1,55,0.00,55.00,QR PromptPay,5
T000107,2025-10-06 10:53,B07,M0017,Bronze,In-store,Tea,2,50,0.00,100.00,Cash,
T000108,2025-10-06 11:25,B06,M0226,Bronze,App,Coffee,1,115,0.00,115.00,Credit Card,
T000109,2025-10-06 11:34,B03,M0097,Bronze,In-store,Tea,2,85,0.00,170.00,Cash,3
T000110,2025-10-06 11:42,B06,M9217,Platinum,In-store,Bakery,4,90,36.00,324.00,QR PromptPay,
T000111,2025-10-06 11:58,B3,,,Delivery,Coffee,4,105,0.00,420.00,Cash,
T000112,2025-10-06 11:59,B02,,,App,Coffee,4,115,0.00,460.00,Credit Card,
T000113,2025-10-06 12:02,B05,M0158,Silver,In-store,Coffee,1,85,0.00,85.00,QR PromptPay,
T000114,2025-10-06 12:04,B06,M0226,Bronze,In-store,Coffee,2,105,0.00,210.00,QR PromptPay,4
T000115,2025-10-06 12:05,B07,M0144,Gold,In-store,Coffee,1,60,9.00,51.00,Credit Card,
T000116,2025-10-06 12:28,B04,,,App,Tea,1,50,0.00,50.00,Credit Card,
T000117,2025-10-06 12:51,B01,M0230,Bronze,Delivery,Merchandise,1,325,0.00,325.00,QR PromptPay,4
T000118,2025-10-06 13:21,B01,M0251,Bronze,Instore,Tea,2,85,0.00,170.00,Credit Card,
T000119,2025-10-06 13:44,B06,,,In-store,Coffee,1,75,0.00,75.00,QR PromptPay,5
T000120,2025-10-06 14:59,B06,M0049,Platinum,App,Coffee,1,60,0.00,60.00,Credit Card,5
T000121,2025-10-06 15:25,B06,,,In-store,Coffee,4,65,0.00,260.00,Credit Card,3
T000122,2025-10-06 16:42,B07,M0270,Bronze,Delivery,Coffee,3,60,0.00,180.00,Credit Card,
T000123,2025-10-06 17:07,B01,M9403,Gold,In-store,Coffee,2,60,0.00,120.00,QR PromptPay,
T000124,2025-10-06 17:19,B01,M0070,Bronze,In-store,Bakery,1,95,0.00,95.00,QR PromptPay,
T000125,2025-10-06 18:02,B06,,,In-store,Bakery,1,55,0.00,55.00,QR PromptPay,
T000126,2025-10-06 18:28,B04,M0104,Silver,In-store,Bakery,1,45,0.00,45.00,QR PromptPay,4
T000127,2025-10-06 18:59,B01,M0129,Silver,in-store,Coffee,2,80,0.00,160.00,Credit Card,
T000127,2025-10-06 19:36,B01,M0129,Silver,In-store,Coffee,-2,80,-0.00,-160.00,Credit Card,
T000128,2025-10-06 19:57,B03,,,In-store,Bakery,2,50,0.00,100.00,Credit Card,
T000129,2025-10-06 19:57,B02,M0155,platinum,In-store,Coffee,1,80,0.00,80.00,Cash,
T000130,2025-10-07 07:46,B05,M0330,Slvr,In-store,Coffee,1,105,0.00,105.00,Credit Card,
T000131,2025-10-07 07:53,B05,M0165,Bronze,In-store,Coffee,1,55,0.00,55.00,Credit Card,
T000132,2025-10-07 08:15,B01,,,Delivery,Coffee,3,65,0.00,195.00,QR PromptPay,
T000133,2025-10-07 09:08,B01,M0294,Bronze,In-store,Coffee,1,110,0.00,110.00,Cash,4
T000134,2025-10-07 10:53,B08,M0187,Silver,Delivery,Merchandise,2,630,0.00,1260.00,Credit Card,
T000135,2025-10-07 12:05,B05,,,In-store,Bakery,4,65,0.00,260.00,Cash,4
T000136,2025-10-07 13:00,B07,M0032,Silver,In-store,Coffee,1,65,0.00,65.00,Credit Card,5
T000137,2025-10-07 13:16,B08,,,In-store,Coffee,1,85,0.00,85.00,QR PromptPay,
T000138,2025-10-07 14:59,B08,M0164,Gold,App,Coffee,1,90,4.50,85.50,Credit Card,5
T000139,2025-10-07 16:54,B03,M0110,Silver,Delivery,Coffee,4,85,51.00,289.00,QR PromptPay,4
T000140,2025-10-07 17:11,B03,M0029,Bronze,In-store,Coffee,1,70,7.00,63.00,QR PromptPay,4
T000141,2025-10-07 17:13,B08,M0268,Silver,Delivery,Bakery,1,85,17.00,68.00,QR PromptPay,
T000142,2025-10-07 18:16,B07,,,Delivery,Bakery,3,60,0.00,180.00,QR PromptPay,
T000143,2025-10-07 18:34,B04,M0291,Bronze,Delivery,Bakery,1,75,0.00,75.00,QR PromptPay,
T000144,2025-10-07 19:42,B07,M0083,Gold,APP,Coffee,1,75,7.50,67.50,App Wallet,3
T000145,2025-10-08 07:42,B07,M0080,Silver,App,Coffee,1,85,17.00,68.00,App Wallet,
T000146,2025-10-08 08:07,B06,,,App,Coffee,1,80,0.00,80.00,Credit Card,
T000147,2025-10-08 08:57,B01,M0251,Bronze,In-store,Coffee,2,80,0.00,160.00,Credit Card,
T000147,2025-10-08 08:57,B01,M0251,Bronze,In-store,Coffee,2,80,0.00,160.00,Credit Card,
T000148,2025-10-08 08:59,B07,,,Delivery ,Coffee,62,70,0.00,4340.00,Credit Card,
T000149,2025-10-08 09:12,B03,M0031,Silver,In-store,Bakery,3,50,0.00,150.00,QR PromptPay,
T000150,2025-10-08 09:37,B01,M0235,Silver,In-store,Merchandise,1,550,27.50,522.50,QR PromptPay,3
T000151,2025-10-08 09:53,B04,M0045,Bronze,In-store,Merchandise,4,715,286.00,2574.00,Credit Card,
T000152,2025-10-08 10:10,B01,,,In-store,Coffee,2,80,0.00,160.00,Cash,5
T000153,2025-10-08 12:37,B05,M0091,Bronze,Delivery,Coffee,2,70,0.00,140.00,QR PromptPay,
T000154,2025-10-08 12:43,B06,,,In-store,Bakery,1,50,0.00,50.00,QR PromptPay,5
T000155,2025-10-08 13:39,B06,,,In-store,Tea,2,85,0.00,170.00,Cash,
T000156,2025-10-08 15:05,B08,M0050,Bronze,In-store,Coffee,1,65,0.00,65.00,QR PromptPay,
T000157,2025-10-08 16:01,B01,M0251,Bronze,In-store,Coffee,1,70,0.00,70.00,Cash,
T000158,2025-10-08 16:03,B04,M0259,Silver,In-store,Coffee,1,55,0.00,55.00,Cash,4
T000159,2025-10-08 16:44,B02,,,In-store,Bakery,3,60,0.00,180.00,Credit Card,3
T000160,2025-10-08 17:21,B03,M0177,Bronze,App,Bakery,2,110,0.00,220.00,App Wallet,3
T000161,2025-10-08 17:28,B03,M0003,Gold,In-store,Tea,4,85,0.00,340.00,Credit Card,
T000162,2025-10-08 18:12,B06,M0017,Bronze,In-store,Coffee,4,70,0.00,280.00,QR PromptPay,
T000163,2025-10-09 07:29,B01,M0052,Bronze,In-store,Tea,1,80,0.00,80.00,Cash,4
T000164,2025-10-09 08:17,B08,,,In-store,Tea,1,80,0.00,80.00,QR PromptPay,
T000165,2025-10-09 08:33,B07,,,App,Coffee,1,85,0.00,85.00,Credit Card,4
T000166,2025-10-09 09:13,B01,,,Delivery,Tea,2,80,0.00,160.00,QR PromptPay,
T000167,2025-10-09 12:31,B04,M0179,Platinum,In store,Coffee,3,65,0.00,195.00,QR PromptPay,
T000168,2025-10-09 12:48,B02,M0279,BRONZE,In-store,Coffee,4,85,0.00,340.00,Credit Card,
T000169,2025-10-09 12:55,B04,M0259,Silver,Delivery,Bakery,2,80,8.00,152.00,Credit Card,
T000169,2025-10-09 13:14,B04,M0259,Silver,Delivery,Bakery,-2,80,-8.00,-152.00,Credit Card,
T000170,2025-10-09 14:40,B04,M0320,Silver,In-store,Coffee,1,80,0.00,80.00,Credit Card,
T000171,2025-10-09 15:34,B01,M0090,Platinum,In-store,Coffee,3,115,17.25,327.75,QR PromptPay,5
T000172,2025-10-09 15:34,B02,M0081,Bronze,App,Coffee,1,115,0.00,115.00,Credit Card,5
T000171,2025-10-09 16:13,B01,M0090,Platinum,In-store,Coffee,-3,115,-17.25,-327.75,QR PromptPay,
T000173,2025-10-09 16:13,B04,M0154,Bronze,Delivery,Bakery,1,55,0.00,55.00,Credit Card,
T000174,2025-10-09 17:01,B06,M0094,Slvr,Delivery,Bakery,1,55,8.25,46.75,QR PromptPay,
T000175,2025-10-09 18:21,B02,M0143,Bronze,Delivery,Merchandise,1,325,0.00,325.00,Credit Card,4
T000176,2025-10-09 19:16,B02,M0140,Bronze,In-store,Bakery,2,70,0.00,140.00,QR PromptPay,4
T000177,2025-10-09 19:26,B06,M0063,Platinum,In-store,Tea,1,75,0.00,75.00,Credit Card,
T000178,2025-10-09 19:29,B03,M0164,Gold,App,Bakery,1,80,0.00,80.00,App Wallet,4
T000179,2025-10-10 07:27,B08,M0268,Silver,In-store,Bakery,1,70,0.00,70.00,Cash,
T000180,2025-10-10 07:46,B06,,,In-store,Coffee,1,80,0.00,80.00,Credit Card,
T000181,2025-10-10 07:46,B01,M0086,Gold,In-store,Tea,1,80,0.00,80.00,Cash,
T000179,2025-10-10 08:31,B08,M0268,Silver,In-store,Bakery,-1,70,-0.00,-70.00,Cash,
T000182,2025-10-10 08:39,B04,M0090,Platinum,In-store,Coffee,1,95,0.00,95.00,Credit Card,
T000183,2025-10-10 09:17,B03,M0221,Silver,App,Coffee,4,75,0.00,300.00,App Wallet,4
T000184,2025-10-10 09:36,B04,,,In-store,Merchandise,1,260,0.00,260.00,QR PromptPay,4
T000185,2025-10-10 10:28,B07,,,In-store,Coffee,1,100,0.00,100.00,Cash,5
T000186,2025-10-10 12:00,B08,M9403,Bronze,In-store,Coffee,2,65,0.00,130.00,QR PromptPay,
T000187,2025-10-10 12:08,B02,,,In-store,Coffee,1,80,0.00,80.00,Cash,
T000188,2025-10-10 12:50,B02,M0284,Platinum,App,Bakery,4,110,66.00,374.00,App Wallet,
T000189,2025-10-10 12:54,B04,M0291,Bronze,App,Coffee,1,85,0.00,85.00,App Wallet,
T000190,2025-10-10 12:56,B01,M0145,Silver,In-store,Tea,2,80,0.00,160.00,QR PromptPay,
T000191,2025-10-10 13:07,B01,,,In-store,Coffee,1,100,0.00,100.00,QR PromptPay,
T000192,2025-10-10 13:17,B07,M0079,Silver,In-store,Bakery,2,95,28.50,161.50,Credit Card,
T000193,2025-10-10 13:33,B01,M0183,Bronze,App,Coffee,4,110,0.00,440.00,Credit Card,5
T000194,2025-10-10 14:12,B06,,,Delivery,Tea,2,85,0.00,170.00,Credit Card,
T000195,2025-10-10 14:23,B07,,,App,Coffee,1,80,0.00,80.00,App Wallet,
T000195,2025-10-10 14:23,B07,,,App,Coffee,1,80,0.00,80.00,App Wallet,
T000196,2025-10-10 14:30,B07,M0120,Gold,App,Coffee,2,75,30.00,120.00,Credit Card,
T000197,2025-10-10 14:34,B07,,,In-store,Coffee,1,55,0.00,55.00,Cash,
T000198,2025-10-10 14:56,B8,,,In-store,Coffee,2,85,0.00,170.00,QR PromptPay,
T000199,2025-10-10 16:25,B05,M0165,Bronze,In-store,Coffee,4,95,0.00,380.00,Credit Card,
T000200,2025-10-10 18:07,B04,M0153,Silver,In-store,Coffee,1,85,0.00,85.00,Cash,2
T000201,2025-10-10 19:17,B07,M0065,Gld,In-store,Coffee,2,65,0.00,130.00,Credit Card,5
T000202,2025-10-10 19:51,B02,M0284,Platinum,Delivery,Bakery,3,70,0.00,210.00,Credit Card,3
T000203,2025-10-11 07:37,B03,,,In-store,Coffee,3,105,0.00,315.00,Credit Card,
T000204,2025-10-11 07:49,B02,,,In-store,Bakery,3,110,0.00,330.00,QR PromptPay,5
T000205,2025-10-11 07:59,B03,M0221,Silver,In-store,Coffee,1,110,0.00,110.00,QR PromptPay,4
T000206,2025-10-11 10:26,B01,,,App,Coffee,3,95,0.00,285.00,Credit Card,
T000207,2025-10-11 11:22,B08,M0187,Silver,In-store,Coffee,2,115,34.50,195.50,QR PromptPay,
T000208,2025-10-11 11:36,B05,M0281,Bronze,Delivery,Coffee,2,100,0.00,200.00,QR PromptPay,
T000209,2025-10-11 11:57,B08,,,In-store,Coffee,1,60,0.00,60.00,Cash,
T000210,2025-10-11 12:01,B02,M0325,Gold,Delivery,Bakery,2,105,42.00,168.00,Cash,
T000211,2025-10-11 12:12,B02,M0318,Bronze,In-store,Coffee,4,65,0.00,260.00,QR PromptPay,
T000212,2025-10-11 12:22,B01,M0139,Bronze,In-store,Bakery,2,70,21.00,119.00,QR PromptPay,
T000213,2025-10-11 12:43,B02,M0157,Gold,In-store,Bakery,1,105,0.00,105.00,QR PromptPay,
T000214,2025-10-11 12:55,B08,M0164,Gold,Delivery,Tea,1,80,0.00,80.00,Credit Card,
T000215,2025-10-11 13:02,B03,M0253,Bronze,In-store,Bakery,4,110,0.00,440.00,Credit Card,
T000216,2025-10-11 16:13,B08,M0204,Gold,In-store,Coffee,1,85,0.00,85.00,Cash,
T000217,2025-10-11 16:22,B07,,,In-store,Coffee,4,110,0.00,440.00,Cash,
T000218,2025-10-11 16:27,B08,,,Delivery,Bakery,1,60,0.00,60.00,Credit Card,
T000219,2025-10-11 16:30,B07,,,In-store,Bakery,1,55,0.00,55.00,Credit Card,
T000220,2025-10-11 16:48,B07,M0273,Gold,App,Coffee,2,60,0.00,120.00,Credit Card,5
T000221,2025-10-11 16:52,B04,M0090,Platinum,In-store,Bakery,3,75,45.00,180.00,Credit Card,
T000222,2025-10-11 17:09,B03,M0097,Bronze,App,Coffee,2,55,0.00,110.00,Credit Card,
T000223,2025-10-11 17:15,B06,M0242,Bronze,In-store,Coffee,1,55,0.00,55.00,Cash,
T000224,2025-10-11 17:18,B08,M0006,Gold,In-store,Coffee,4,95,0.00,380.00,Credit Card,3
T000225,2025-10-11 17:53,B07,,,In-store,Bakery,1,60,0.00,60.00,Cash,
T000226,2025-10-11 18:19,B06,M0094,Silver,In-store,Coffee,3,90,0.00,270.00,Credit Card,
T000227,2025-10-11 19:10,B06,M0155,Platinum,App,Coffee,1,75,11.25,63.75,Credit Card,
T000227,2025-10-11 19:29,B06,M0155,Platinum,App,Coffee,-1,75,-11.25,-63.75,Credit Card,
T000228,2025-10-12 08:41,B05,M0063,Platinum,In-store,Bakery,1,80,0.00,80.00,Cash,3
T000229,2025-10-12 10:50,B08,M0190,Bronze,In-store,Merchandise,1,755,0.00,755.00,QR PromptPay,
T000230,2025-10-12 10:59,B02,,,In-store,Coffee,1,90,0.00,90.00,QR PromptPay,3
T000231,2025-10-12 12:12,B06,M0240,Gold,In-store,Coffee,1,115,0.00,115.00,QR PromptPay,3
T000232,2025-10-12 12:42,B01,,,In store,Bakery,1,70,0.00,70.00,QR PromptPay,5
T000233,2025-10-12 13:37,B07,M0006,Gold,App,Coffee,2,75,0.00,150.00,Credit Card,4
T000234,2025-10-12 14:03,B05,M0025,Bronze,In-store,Coffee,3,70,0.00,210.00,Cash,
T000235,2025-10-12 15:34,B04,M0037,Bronze,In-store,Tea,4,90,0.00,360.00,Cash,4
T000236,2025-10-12 16:38,B08,M0275,Bronze,In-store,Merchandise,1,760,0.00,760.00,QR PromptPay,3
T000237,2025-10-12 16:45,B01,M0197,Silver,In-store,Coffee,1,55,0.00,55.00,QR PromptPay,3
T000238,2025-10-12 18:49,B07,,,Delivery,Coffee,1,95,0.00,95.00,QR PromptPay,
T000239,2025-10-12 19:21,B06,M0094,Silver,In-store,Coffee,3,115,0.00,345.00,QR PromptPay,3
T000240,2025-10-13 07:46,B02,,,App,Coffee,2,75,0.00,150.00,Credit Card,
T000240,2025-10-13 07:46,B02,,,App,Coffee,2,75,0.00,150.00,Credit Card,
T000241,2025-10-13 08:03,B08,,,App,Tea,2,50,0.00,100.00,Credit Card,
T000242,2025-10-13 08:22,B07,M0263,Bronze,In-store,Merchandise,4,585,0.00,2340.00,QR PromptPay,
T000243,2025-10-13 10:16,B08,M0006,Gold,In-store,Coffee,3,90,27.00,243.00,Cash,
T000244,2025-10-13 10:52,B01,,,in-store,Merchandise,1,325,0.00,325.00,QR PromptPay,4
T000245,2025-10-13 11:49,B02,,,App,Coffee,1,60,0.00,60.00,App Wallet,
T000246,2025-10-13 12:11,B01,M0197,Silver,App,Merchandise,2,280,0.00,560.00,Credit Card,
T000247,2025-10-13 12:34,B08,,,In-store,Bakery,3,70,0.00,210.00,Credit Card,
T000248,2025-10-13 12:41,B08,M0093,Bronze,In-store,Bakery,1,80,0.00,80.00,QR PromptPay,
T000249,2025-10-13 12:43,B08,M0237,Bronze,Delivery,Merchandise,1,320,0.00,320.00,Cash,
T000250,2025-10-13 13:32,B08,,,In-store,Coffee,2,85,0.00,170.00,QR PromptPay,
T000251,2025-10-13 14:10,B04,,,App,Tea,2,90,0.00,180.00,App Wallet,
T000252,2025-10-13 14:50,B06,M0241,Platinum,App,Bakery,4,80,0.00,320.00,App Wallet,
T000253,2025-10-13 15:10,B03,,,In-store,Coffee,1,65,0.00,65.00,Credit Card,
